Pango.lineage	APES	Collection.date	APESS	APESS.
378	B.1.1.171	0	2020-08-09	0	0.000684460738124483
379	B.1.1.172	0	2020-04-15	0	0.000684460738124483
380	B.1.1.174	0	2020-12-22	0	0.000684460738124483
381	B.1.1.175	0	2020-04-29	0	0.000703152324355661
382	B.1.1.176	0	2021-01-12	0	0.000780869013727027
383	B.1.1.177	0	2020-06-13	0	0.000684460738124483
384	B.1.1.178	0	2020-04-02	0	0.000684460738124483
385	B.1.1.180	0	2020-07-27	0	0.000684460738124483
387	B.1.1.182	0	2020-09-25	0	0.000684460738124483
388	B.1.1.184	0	2020-05-08	0	0.000684460738124483
390	B.1.1.186	0	2020-10-22	0	0.000558104848458763
391	B.1.1.187	0	2020-06-28	0	0.000684460738124483
392	B.1.1.189	-0.3337	2021-01-28	-0.0031	0.00218374207602212
393	B.1.1.190	0	2020-05-22	0	0.000383467257637113
394	B.1.1.191	0	2020-09-21	0	0.000383467257637113
395	B.1.1.192	0	2020-08-10	0	0.000684460738124483
396	B.1.1.193	0	2020-11-17	0	0.000589066309391905
398	B.1.1.196	0	2020-11-08	0	0.000816333991866505
399	B.1.1.197	0	2020-04-15	0	0.000684460738124483
400	B.1.1.198	0	2020-09-17	0	0.000684460738124483
401	B.1.1.200	0	2020-06-12	0	0.000684460738124483
402	B.1.1.201	0	2020-08-04	0	0.000684460738124483
403	B.1.1.202	0	2020-04-17	0	0.000684460738124483
404	B.1.1.203	0	2021-03-05	0	-0.00040891923635878
405	B.1.1.204	0	2020-12-16	0	0.000529670245637929
406	B.1.1.205	0	2020-07-15	0	0.000684460738124483
407	B.1.1.207	0	2020-10-21	0	-0.000766965053297387
408	B.1.1.208	0	2020-05-11	0	0.000684460738124483
409	B.1.1.209	0	2020-07-30	0	0.000684460738124483
410	B.1.1.210	0	2020-07-18	0	-0.0197168055821308
411	B.1.1.213	0	2020-06-15	0	0.000684460738124483
414	B.1.1.217	0	2020-06-17	0	0.000684460738124483
416	B.1.1.219	0	2021-02-01	0	0.000684460738124483
417	B.1.1.220	0	2020-11-02	0	0.000684460738124483
418	B.1.1.221	0	2020-07-10	0	0.000684460738124483
419	B.1.1.222	0	2020-10-02	0	0.000699907429651369
420	B.1.1.224	0	2020-09-14	0	0.000972789934029394
421	B.1.1.225	0	2020-08-06	0	0.000684460738124483
422	B.1.1.226	0	2020-07-01	0	0.000684460738124483
423	B.1.1.227	0	2020-07-24	0	0.000684460738124483
424	B.1.1.228	0	2020-11-15	0	-0.000832121306418451
426	B.1.1.230	0	2020-08-14	0	0.000660050197250146
427	B.1.1.231	0	2021-01-07	0	0.000684460738124483
428	B.1.1.232	0	2020-11-30	0	0.000963982403344093
429	B.1.1.234	0	2020-11-03	0	0.00092535366378819
430	B.1.1.236	0	2020-10-22	0	0.000684460738124483
431	B.1.1.237	0	2020-07-10	0	0.00217514847599762
432	B.1.1.239	0	2020-08-16	0	0.000684460738124483
433	B.1.1.240	0	2020-10-19	0	0.00142614682631546
434	B.1.1.241	0	2020-11-23	0	0.000684460738124483
435	B.1.1.242	0	2020-08-23	0	0.000684460738124483
436	B.1.1.243	0	2020-12-03	0	7.27039765913402e-05
437	B.1.1.244	0	2020-07-15	0	0.000684460738124483
438	B.1.1.249	0	2020-04-07	0	0.000699721948797939
439	B.1.1.25	0	2020-04-29	0	0.000392320007063212
440	B.1.1.251	0	2020-11-16	0	0.000811571439188119
441	B.1.1.253	0	2020-07-16	0	0.000684460738124483
442	B.1.1.254	0	2021-02-11	0	0.000684460738124483
443	B.1.1.255	0	2020-11-11	0	0.000684460738124483
444	B.1.1.256	0	2020-06-17	0	0.000684460738124483
445	B.1.1.257	0	2020-04-15	0	0.000684460738124483
446	B.1.1.258	0	2020-06-16	0	0.000684460738124483
447	B.1.1.26	0	2020-05-03	0	0.000684460738124483
448	B.1.1.261	0	2020-07-13	0	0.000684460738124483
449	B.1.1.262	0	2020-08-03	0	0.000597474075077801
450	B.1.1.263	0	2020-05-10	0	0.000464765870255452
451	B.1.1.265	0	2020-12-21	0	0.000699721948797939
452	B.1.1.266	-0.2664	2020-08-25	-0.0027	-0.00595663381710685
453	B.1.1.267	0	2020-06-09	0	0.000684460738124483
454	B.1.1.268	0	2020-06-13	0	0.000684460738124483
455	B.1.1.269	0	2020-08-10	0	0.000716497315447251
456	B.1.1.27	0	2020-03-21	0	0.000684460738124483
457	B.1.1.270	0	2020-04-22	0	0.000684460738124483
458	B.1.1.271	0	2020-04-30	0	7.81240152372403e-05
459	B.1.1.272	-0.797	2021-04-12	-0.001	-0.000456076268773811
460	B.1.1.273	0	2020-09-13	0	0.000684460738124483
461	B.1.1.274	0	2020-11-15	0	0.000789784361760736
463	B.1.1.277	0	2021-02-03	0	0.0010282560816761
464	B.1.1.279	0	2020-10-22	0	0.00217514847599762
465	B.1.1.28	0	2021-01-08	0	0.0006164877646208
466	B.1.1.280	0	2020-12-03	0	0.000726771876993654
468	B.1.1.283	0	2020-04-02	0	0.000742869189260233
469	B.1.1.284	-0.1198	2020-08-27	-0.0016	0.00098954020716383
470	B.1.1.285	0	2020-07-10	0	0.000742869189260233
471	B.1.1.286	0	2020-09-17	0	0.000684460738124483
473	B.1.1.289	0	2020-06-07	0	0.000724253712347006
474	B.1.1.29	0	2020-04-30	0	0.000684460738124483
475	B.1.1.290	0	2020-05-11	0	0.000684460738124483
476	B.1.1.291	0	2020-06-08	0	0.000684460738124483
477	B.1.1.294	0	2020-11-05	0	0.000497558228642531
478	B.1.1.296	0	2020-04-06	0	0.000684460738124483
479	B.1.1.297	0	2020-11-14	0	0.000725452276070093
480	B.1.1.299	0	2020-06-22	0	0.000697619030906645
481	B.1.1.3	-0.1198	2020-05-18	-0.0016	0.00098954020716383
482	B.1.1.30	0	2020-05-18	0	0.00217514847599762
483	B.1.1.300	0	2020-06-14	0	0.000684460738124483
484	B.1.1.301	0	2020-11-13	0	0.000696694092863767
485	B.1.1.302	0	2020-11-16	0	0.000698543320905752
486	B.1.1.303	0	2020-07-15	0	0.000684460738124483
487	B.1.1.304	0	2021-01-14	0	-0.000148032466392644
488	B.1.1.305	0	2021-01-27	0	0.000805985904266018
489	B.1.1.306	0	2020-11-24	0	-0.000766965053297387
490	B.1.1.307	0	2020-12-15	0	0.000742869189260233
491	B.1.1.308	0	2020-09-30	0	0.000821811634185593
492	B.1.1.309	0	2020-11-02	0	0.000684460738124483
493	B.1.1.31	0	2020-09-22	0	0.000726771876993654
494	B.1.1.310	0	2020-09-09	0	0.000684460738124483
495	B.1.1.311	0	2020-10-30	0	0.000684460738124483
496	B.1.1.312	0	2020-10-03	0	0.000725560381808445
497	B.1.1.315	0	2020-10-17	0	0.00054971924414954
498	B.1.1.316	0	2020-10-21	0	0.000104213297312599
499	B.1.1.317	0.0672	2021-03-04	0.001	-0.0155195143918392
500	B.1.1.318	-0.797	2021-04-06	-0.001	-0.00155773548050814
501	B.1.1.319	0	2020-12-15	0	0.000684460738124483
502	B.1.1.320	0	2020-12-17	0	0.000684460738124483
503	B.1.1.322	0	2021-01-30	0	0.000699907429651369
504	B.1.1.323	0	2020-03-11	0	0.000684460738124483
505	B.1.1.324	0	2020-06-28	0	0.000729692141083308
506	B.1.1.325	0	2020-10-26	0	0.000607601860154947
507	B.1.1.326	0	2020-08-22	0	0.000684460738124483
508	B.1.1.327	0	2021-01-12	0	0.000153194276166137
509	B.1.1.328	0	2020-06-12	0	0.000684460738124483
510	B.1.1.329	0	2020-09-11	0	0.00109990063509303
511	B.1.1.33	0	2020-12-08	0	0.000684460738124483
512	B.1.1.330	0	2021-01-03	0	0.000726771876993654
513	B.1.1.331	0	2020-03-15	0	0.000684460738124483
514	B.1.1.332	0	2021-01-16	0	0.0006164877646208
515	B.1.1.333	0	2021-03-02	0	0.00087961398038362
516	B.1.1.334	0	2021-01-01	0	-0.00450085993375652
518	B.1.1.336	0	2020-10-14	0	-0.00093074916076339
519	B.1.1.337	0	2020-08-27	0	0.000531251057610454
520	B.1.1.338	0	2020-12-02	0	-0.000766965053297387
521	B.1.1.339	0	2020-03-26	0	0.000583762254899601
522	B.1.1.34	0	2020-07-15	0	0.0006164877646208
523	B.1.1.340	0	2021-01-10	0	-0.000766965053297387
524	B.1.1.341	0	2020-09-27	0	0.000713937792620462
525	B.1.1.342	0	2020-06-16	0	0.000684460738124483
527	B.1.1.344	0	2020-06-22	0	0.000684460738124483
528	B.1.1.345	-0.797	2021-01-18	-0.001	-0.000104319425908566
529	B.1.1.346	0	2020-10-12	0	0.000684460738124483
530	B.1.1.347	0	2020-08-20	0	0.000684460738124483
531	B.1.1.348	0	2020-11-30	0	0.000531442614363115
532	B.1.1.349	0	2020-08-06	0	0.00102148738051163
533	B.1.1.350	0	2020-03-23	0	0.000684460738124483
534	B.1.1.351	0	2020-12-10	0	-0.00081144356046092
535	B.1.1.352	0	2020-11-10	0	0.000684460738124483
537	B.1.1.354	0	2020-07-18	0	0.000684460738124483
538	B.1.1.355	0	2020-10-05	0	0.000684460738124483
539	B.1.1.356	0	2020-07-01	0	0.000684460738124483
540	B.1.1.357	0	2020-07-23	0	0.000684460738124483
541	B.1.1.358	0	2021-02-04	0	0.00261260582338334
